metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"Sebring--Avon Park, FL",61625,908,46,2175000
"Grand Forks, ND--MN",61270,352,24,913000
"Bangor, ME",61210,411,43,1609000
"Goldsboro, NC",61054,438,53,1184000
"Benton Harbor--St. Joseph--Fair Plain, MI",61022,481,47,2069000
"Rome, GA",60851,676,48,2269000
"Ames, IA",60438,264,23,823000
"Lewiston, ME",59397,554,35,1596000
"San Luis Obispo, CA",59219,187,20,1042000
"Pittsfield, MA",59124,420,34,1282000
"Morristown, TN",59036,579,60,2013000
"Midland, MI",59014,541,45,1841000
"Lexington Park--California--Chesapeake Ranch Estates, MD",58875,312,50,1119000
"Jefferson City, MO",58533,407,40,1659000
"Carson City, NV",58079,413,23,1260000
"Watertown, NY",57840,542,41,1340000
"Mankato, MN",57584,421,26,1268000
"Kingston, NY",57442,812,43,4000000
"Daphne--Fairhope, AL",57383,758,55,2909000
"Albany, OR",56997,326,24,1344000
"Hazleton, PA",56827,361,31,1065000
"Staunton--Waynesboro, VA",56611,520,38,2570000
"Williamsport, PA",56142,336,27,1027000
"Kahului, HI",55934,158,17,1361000
"Walla Walla, WA--OR",55805,326,28,614000
"Woodland, CA",55513,189,12,769000
"Hot Springs, AR",55121,872,45,1795000
"Columbus, IN",54933,435,27,2121000
"Fond du Lac, WI",54901,398,29,1347000
"Manhattan, KS",54622,374,21,1017000
"Titusville, FL",54386,377,30,1846000
"Delano, CA",54372,160,10,624000
"East Stroudsburg, PA--NJ",54316,397,52,1931000
"Ithaca, NY",53661,271,25,884000
"Bloomsburg--Berwick, PA",53618,393,33,1290000
"Pine Bluff, AR",53495,585,37,1736000
"Lake Havasu City, AZ",53427,492,30,996000
"Farmington, NM",53049,354,35,1063000
"Cape Girardeau, MO--IL",52900,457,35,1667000
"San Marcos, TX",52826,319,27,2862000
"Sierra Vista, AZ",52745,389,30,799000
"Cartersville, GA",52477,595,51,2902000
"Arroyo Grande--Grover Beach, CA",52000,260,23,1357000
"Lewiston, ID--WA",51924,509,28,768000
"Cumberland, MD--WV--PA",51899,421,33,1417000
